,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,positions,"Ariana Grande",1261012,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
2,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1014043,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
3,Dakiti,"Bad Bunny",1006019,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
4,34+35,"Ariana Grande",845523,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
5,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",820667,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
6,"Mood (feat. iann dior)",24kGoldn,794555,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
7,"WAP (feat. Megan Thee Stallion)","Cardi B",771010,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
8,"What You Know Bout Love","Pop Smoke",754085,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
9,pov,"Ariana Grande",723865,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
10,"Laugh Now Cry Later (feat. Lil Durk)",Drake,698482,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
11,"Lonely (with benny blanco)","Justin Bieber",686422,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
12,"SO DONE","The Kid LAROI",634583,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE
13,"Tyler Herro","Jack Harlow",631961,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
14,"Holy (feat. Chance The Rapper)","Justin Bieber",582707,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
15,"Forever After All","Luke Combs",578627,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
16,"Come & Go (with Marshmello)","Juice WRLD",575696,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
17,"motive (with Doja Cat)","Ariana Grande",572393,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
18,"Hawái - Remix",Maluma,551476,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
19,"Put Your Records On","Ritt Momney",549311,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
20,Heather,"Conan Gray",523289,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
21,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,523278,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
22,"Wishing Well","Juice WRLD",517689,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
23,"Blinding Lights","The Weeknd",509661,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
24,"you broke me first","Tate McRae",501894,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
